index,region,severity,n,n_detected,coverage_pct
HNSW_SQ8,sq_scale,benign,6084,66,1.0848126232741617
HNSW_SQ8,sq_scale,catastrophic,1406,897,63.79800853485064
HNSW_SQ8,sq_scale,moderate,702,21,2.9914529914529915
IVF_FLAT,centroid,benign,1715,59,3.4402332361516037
IVF_FLAT,centroid,moderate,285,280,98.24561403508773
IVF_PQ_M16,centroid,benign,1646,460,27.946537059538276
IVF_PQ_M16,centroid,moderate,354,336,94.91525423728814
IVF_PQ_M16,pq_codebook,benign,3214,4,0.12445550715619166
IVF_PQ_M16,pq_codebook,moderate,786,522,66.41221374045801
IVF_PQ_M8,centroid,benign,1700,498,29.294117647058822
IVF_PQ_M8,centroid,moderate,300,282,94.0
IVF_PQ_M8,pq_codebook,benign,3333,15,0.45004500450045004
IVF_PQ_M8,pq_codebook,moderate,667,503,75.41229385307346
IVF_SQ8,centroid,benign,1613,41,2.541847489150651
IVF_SQ8,centroid,moderate,387,298,77.00258397932816
IVF_SQ8,sq_scale,benign,4174,18,0.43124101581217056
IVF_SQ8,sq_scale,catastrophic,2983,1451,48.64230640295005
IVF_SQ8,sq_scale,moderate,1035,15,1.4492753623188406
