index,baseline_mode,r,expected_dRecall@10
FLAT,aligned,1e-09,5.686468689327419e-07
FLAT,aligned,1e-08,5.686468689327419e-06
FLAT,aligned,1e-07,5.686468689327418e-05
FLAT,aligned,1e-06,0.0005686468689327419
FLAT,aligned,1e-05,0.005686468689327418
HNSW,aligned,1e-09,2.6482758620324116e-07
HNSW,aligned,1e-08,2.6482758620324113e-06
HNSW,aligned,1e-07,2.6482758620324113e-05
HNSW,aligned,1e-06,0.00026482758620324114
HNSW,aligned,1e-05,0.0026482758620324114
HNSW_SQ8,aligned,1e-09,6.288889389593475e-07
HNSW_SQ8,aligned,1e-08,6.288889389593475e-06
HNSW_SQ8,aligned,1e-07,6.288889389593474e-05
HNSW_SQ8,aligned,1e-06,0.0006288889389593474
HNSW_SQ8,aligned,1e-05,0.006288889389593474
IVF_FLAT,aligned,1e-09,1.0159138583686895e-06
IVF_FLAT,aligned,1e-08,1.0159138583686895e-05
IVF_FLAT,aligned,1e-07,0.00010159138583686895
IVF_FLAT,aligned,1e-06,0.0010159138583686895
IVF_FLAT,aligned,1e-05,0.010159138583686896
IVF_PQ_M16,own,1e-09,4.169598156794948e-07
IVF_PQ_M16,own,1e-08,4.1695981567949476e-06
IVF_PQ_M16,own,1e-07,4.169598156794948e-05
IVF_PQ_M16,own,1e-06,0.00041695981567949476
IVF_PQ_M16,own,1e-05,0.004169598156794949
IVF_PQ_M8,own,1e-09,2.613875507203527e-07
IVF_PQ_M8,own,1e-08,2.613875507203527e-06
IVF_PQ_M8,own,1e-07,2.613875507203527e-05
IVF_PQ_M8,own,1e-06,0.0002613875507203527
IVF_PQ_M8,own,1e-05,0.0026138755072035273
IVF_SQ8,aligned,1e-09,2.1321204110925103e-06
IVF_SQ8,aligned,1e-08,2.1321204110925103e-05
IVF_SQ8,aligned,1e-07,0.00021321204110925104
IVF_SQ8,aligned,1e-06,0.0021321204110925107
IVF_SQ8,aligned,1e-05,0.021321204110925106
