index,region,kind,region_bits,E_dR,cat_frac,series,source,baseline_mode
FLAT,vectors,vectors,4096000000,1.3882980198553268e-07,0.0,main,tag_map,aligned
HNSW,graph_edges,graph_edges,2081034240,-1.70794192998557e-08,0.0,graph_edges,graph_map,aligned
HNSW,vectors,vectors,4096000000,6.465517241290067e-08,0.0,main,tag_map,aligned
HNSW_SQ8,codes,codes,1024000064,1.3999999999936286e-07,0.0,main,tag_map,aligned
HNSW_SQ8,graph_edges,graph_edges,2081034240,0.0,0.0,graph_edges,graph_map,aligned
HNSW_SQ8,sq_scale,sq_scale,8192,0.05926866821289061,0.171630859375,main,tag_map,aligned
IVF_FLAT,centroid,centroid,4194304,0.00011374340663313164,0.0,main,tag_map,aligned
IVF_FLAT,codes,codes,4160000000,1.2952870984464397e-07,0.0,main,tag_map,aligned
IVF_PQ_M16,centroid,centroid,4194304,4.9306874999983444e-05,0.0,main,tag_map,own
IVF_PQ_M16,codes,codes,192000000,3.29999999997832e-07,0.0,main,tag_map,own
IVF_PQ_M16,pq_codebook,pq_codebook,1048576,0.00013999156249998136,0.0,main,tag_map,own
IVF_PQ_M8,centroid,centroid,4194304,3.249375000001195e-05,0.0,main,tag_map,own
IVF_PQ_M8,codes,codes,128000000,2.600000000022584e-07,0.0,main,tag_map,own
IVF_PQ_M8,pq_codebook,pq_codebook,1048576,8.756531250001289e-05,0.0,main,tag_map,own
IVF_SQ8,centroid,centroid,4194304,0.00012821542050690606,0.0,main,tag_map,aligned
IVF_SQ8,codes,codes,1088000000,2.5999999999881675e-07,0.0,main,tag_map,aligned
IVF_SQ8,sq_scale,sq_scale,8192,0.16009105957031247,0.3641357421875,main,tag_map,aligned
